"","ncomp","RMSE","Rsquared","MAE","Qsquared","RMSESD","RsquaredSD","MAESD","QsquaredSD","variables","model"
"1",2,16.6341308151412,0.686754560066199,13.594163376768,0.656714911693683,3.55022099240582,0.0891543765004969,2.9465132590404,0.105592359528093,"All","vi"
"2",2,16.966309243439,0.68728618049222,13.9434911420602,0.641372343374565,3.45598054633495,0.0890101576870835,2.85693248601501,0.110458175164105,"exg,tc_green,bsi,ndmi,tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi"
"3",2,16.6221243472111,0.694553073728341,13.5660084835977,0.656533251927642,3.31199729357621,0.0868059393280697,2.65600325517367,0.101222081636442,"tc_green,bsi,ndmi,tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi"
"4",2,16.6588720237534,0.694955872375368,13.5762228382467,0.654400480036332,3.31846746462018,0.0858298723773585,2.66774362337175,0.104091720972558,"bsi,ndmi,tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi"
"5",2,16.7958509615107,0.69307347807698,13.6982050320472,0.648277048924742,3.32735126562629,0.0857725728454724,2.66207965053599,0.107301668373771,"ndmi,tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi"
"6",2,17.2305944188406,0.683093928133706,14.0667900078273,0.630670436239661,3.31383128440044,0.0903354129972001,2.57829507229633,0.10694571522683,"tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi"
"7",2,16.2485169477316,0.699187521772296,13.3818301456273,0.673380263803681,2.91816935263138,0.0769326859079839,2.47900894859228,0.0813284098189657,"msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi"
"8",2,16.1623151490077,0.700865159317552,13.2636828903381,0.676608344986765,2.94598185720221,0.0771863534514943,2.46585352963748,0.0825106949021578,"savi,evi,swirRatio,osavi,ndvi,satvi","vi"
"9",2,15.6285520588,0.705815454218092,12.0705845222775,0.698059176945929,3.33911523883483,0.0843101886448218,2.34533177900505,0.0905342176451122,"All","vi_log"
"10",2,15.6190868927027,0.710236756731193,12.1702639654421,0.698454752542374,3.2438383152924,0.0842289649589182,2.27512438475715,0.0876775064293699,"exg,tc_green,ndmi,bsi,tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi_log"
"11",2,15.4290889346743,0.714530967255604,11.8793250573673,0.705389347376396,3.2094971968838,0.0848493347684497,2.14938806206076,0.0872393225787397,"tc_green,ndmi,bsi,tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi_log"
"12",2,15.4163670304112,0.715419392536692,11.8417056932683,0.70579966934754,3.17545509897912,0.0837170391912657,2.11762923393336,0.0862764127452247,"ndmi,bsi,tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi_log"
"13",2,15.7004882059645,0.710268338683297,12.154694119128,0.69521262423028,3.23372724016181,0.0859349340972903,2.04937367186432,0.0882348782992441,"bsi,tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi_log"
"14",2,15.7233990518494,0.709434422160325,12.1825972880456,0.694638644209331,3.22496132739042,0.087433292764295,2.05819054337067,0.0875274230219331,"tc_bright,msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi_log"
"15",2,15.4621521722523,0.717264809100113,12.4545697126202,0.704842808911388,2.81720496922,0.0744985273768771,2.23685025681699,0.0729497407166764,"msavi,savi,evi,swirRatio,osavi,ndvi,satvi","vi_log"
"16",2,15.4535061278145,0.717476146060866,12.4328137465939,0.705103229485745,2.81758183940155,0.0747378118660497,2.20540535072465,0.0731101982360092,"savi,evi,swirRatio,osavi,ndvi,satvi","vi_log"
"17",2,15.6556562867762,0.702328573838823,12.0267733962298,0.695412320700467,3.68088129932311,0.101074213294663,2.55122525418813,0.104500046589784,"All","bands"
"18",2,15.5485857878928,0.704739403722044,11.7911844304534,0.699499031806865,3.63053376084613,0.0989944497546783,2.54485494330852,0.10283985075513,"ndmi,swir1,tc_bright,tc_wet,bsi,tc_green,exg,swir2,msavi,savi,green,blue,red,evi,swirRatio,osavi,ndvi,satvi","bands"
"19",2,15.9840204678523,0.690463615203426,12.3460765211141,0.683142775907766,3.65085999547585,0.0997720655833695,2.72201399567068,0.102819272320965,"swir1,tc_bright,tc_wet,bsi,tc_green,exg,swir2,msavi,savi,green,blue,red,evi,swirRatio,osavi,ndvi,satvi","bands"
"20",2,15.6008924543845,0.702887124913855,11.9163368470727,0.69750051539672,3.68552300116601,0.100329422198781,2.5313126657852,0.104342671219356,"tc_bright,tc_wet,bsi,tc_green,exg,swir2,msavi,savi,green,blue,red,evi,swirRatio,osavi,ndvi,satvi","bands"
"21",2,15.7072176170016,0.702202020402042,11.9127314595804,0.693360482132432,3.66623726576766,0.0975850711233988,2.48658399892051,0.104033283434393,"tc_wet,bsi,tc_green,exg,swir2,msavi,savi,green,blue,red,evi,swirRatio,osavi,ndvi,satvi","bands"
"22",2,15.9742555966005,0.699644916653957,12.3322376426492,0.683632091833316,3.70009343227923,0.0990025304941135,2.40158694727672,0.105500028591105,"bsi,tc_green,exg,swir2,msavi,savi,green,blue,red,evi,swirRatio,osavi,ndvi,satvi","bands"
"23",2,16.0868013630526,0.695378926971887,12.4749451566896,0.679493657364499,3.58092653920318,0.0969388586021396,2.32002170228439,0.101700466154398,"tc_green,exg,swir2,msavi,savi,green,blue,red,evi,swirRatio,osavi,ndvi,satvi","bands"
